Novo Feixo
2.32787 -2.18003
2.43072 -2.04042
2.50817 -1.86943
2.52972 -1.65503
2.53167 -1.5533
2.54145 -0.973464
2.547 1.16015
2.54049 2.28518
2.49544 2.68987
2.47924 2.71008
2.40377 2.77723
2.36181 2.79995
2.14553 2.9037
1.86461 2.9902
1.78955 2.98912
1.71252 2.29207
1.50089 0.349084
1.35521 -1.605
1.27585 -2.82717
1.27903 -3.07317
1.30069 -3.13392
1.31253 -3.14138
1.36584 -3.14032
Novo Feixo
1.53151 0.927917
1.58861 1.56704
1.59362 1.81358
1.56829 2.08924
1.44737 2.1612
1.40607 1.79777
1.24237 -0.162697
1.32469 -0.23158
1.41215 -0.252829
Novo Feixo
1.33999 -1.25965
1.38531 -1.1998
1.38887 -0.909608
1.16975 -0.847609
1.03118 -1.0876
1.04846 -1.18356
1.16265 -1.23836
Novo Feixo
1.16056 0.542935
1.21829 0.5733
1.26358 0.709984
1.29198 0.90585
1.32019 1.38673
1.33395 1.73649
1.26502 1.75567
1.14172 1.75864
1.04393 1.54923
0.915531 0.974361
0.890564 0.775897
0.947087 0.724173
Novo Feixo
1.14167 -1.68088
1.16558 -1.48625
1.1623 -1.48799
1.13211 -1.50896
1.00292 -2.01605
0.949379 -2.23599
1.02028 -2.15867
Novo Feixo
0.98033 1.50225
1.01947 1.58412
1.00649 1.63355
0.921041 1.64083
0.403617 1.55306
0.836214 1.49088
Novo Feixo
0.879209 1.13277
0.916617 1.31863
0.853209 1.30648
Novo Feixo
0.030716 0.60474
0.765016 0.841629
0.769607 0.961158
-0.158508 0.95177
-0.159308 0.936763
-0.162707 0.787282
-0.129892 0.650399
